date,year,meeting_id,statement_url,minutes_url
2006-05-10,2006,2006-05-10,https://www.federalreserve.gov/newsevents/press/monetary/20060510a.htm,https://www.federalreserve.gov/fomc/minutes/20060510.htm
2006-06-29,2006,2006-06-29,https://www.federalreserve.gov/newsevents/press/monetary/20060629a.htm,https://www.federalreserve.gov/fomc/minutes/20060629.htm
2006-08-08,2006,2006-08-08,https://www.federalreserve.gov/newsevents/press/monetary/20060808a.htm,https://www.federalreserve.gov/fomc/minutes/20060808.htm
2006-09-20,2006,2006-09-20,https://www.federalreserve.gov/newsevents/press/monetary/20060920a.htm,https://www.federalreserve.gov/fomc/minutes/20060920.htm
2006-10-25,2006,2006-10-25,https://www.federalreserve.gov/newsevents/press/monetary/20061025a.htm,https://www.federalreserve.gov/fomc/minutes/20061025.htm
2006-12-12,2006,2006-12-12,https://www.federalreserve.gov/newsevents/press/monetary/20061212a.htm,https://www.federalreserve.gov/fomc/minutes/20061212.htm
2007-01-31,2007,2007-01-31,https://www.federalreserve.gov/newsevents/press/monetary/20070131a.htm,https://www.federalreserve.gov/fomc/minutes/20070131.htm
2007-03-21,2007,2007-03-21,https://www.federalreserve.gov/newsevents/press/monetary/20070321a.htm,https://www.federalreserve.gov/fomc/minutes/20070321.htm
2007-05-09,2007,2007-05-09,https://www.federalreserve.gov/newsevents/press/monetary/20070509a.htm,https://www.federalreserve.gov/fomc/minutes/20070509.htm
2007-06-28,2007,2007-06-28,https://www.federalreserve.gov/newsevents/press/monetary/20070618a.htm,https://www.federalreserve.gov/fomc/minutes/20070628.htm
2007-08-07,2007,2007-08-07,https://www.federalreserve.gov/newsevents/press/monetary/20070807a.htm,https://www.federalreserve.gov/fomc/minutes/20070807.htm
2007-09-18,2007,2007-09-18,https://www.federalreserve.gov/newsevents/press/monetary/20070918a.htm,https://www.federalreserve.gov/fomc/minutes/20070918.htm
2007-10-31,2007,2007-10-31,https://www.federalreserve.gov/newsevents/press/monetary/20071031a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20071031.htm
